Q Learning,Optimal,Basic,Random
-0.14705882352941177,-0.10956175298804781,-0.36795252225519287,-0.4172248803827751
-0.17485822306238186,-0.07829534192269574,-0.3187250996015936,-0.3673469387755102
-0.13891531874405327,-0.14129353233830846,-0.3220338983050847,-0.38269230769230766
-0.1294559099437148,-0.1001984126984127,-0.3141724479682854,-0.343599615014437
-0.15392061955469508,-0.10781404549950543,-0.38767395626242546,-0.37752161383285304
-0.1623931623931624,-0.12103174603174603,-0.3661691542288557,-0.36547733847637415
-0.1599625818521983,-0.1156530408773679,-0.2962226640159046,-0.421256038647343
-0.11588785046728972,-0.0636182902584493,-0.3220338983050847,-0.3834296724470135
0.0,0.0,0.0,-1.0
-0.1596958174904943,-0.07071713147410359,-0.3333333333333333,-0.390625
0.0,0.0,0.0,1.0
-0.14542020774315392,-0.11829025844930417,-0.3705533596837945,-0.3945841392649903
-0.15413891531874405,-0.06739345887016848,-0.34462151394422313,-0.3737957610789981
-0.12285714285714286,-0.031714568880079286,-0.31343283582089554,-0.37560503388189737
-0.1485053037608486,-0.09353233830845771,-0.3386454183266932,-0.40501446480231434
-0.08126195028680688,-0.06342913776015857,-0.35119047619047616,-0.3414396887159533
-0.13675213675213677,-0.057539682539682536,-0.3459621136590229,-0.4032723772858518
-0.11848341232227488,-0.1172962226640159,-0.3201581027667984,-0.32753623188405795
-0.07340324118207817,0.010923535253227408,-0.3057768924302789,-0.30221366698748797
-0.14038461538461539,-0.10912698412698413,-0.3379583746283449,-0.36555023923444974
-0.10724365004703669,-0.08316831683168317,-0.4205794205794206,-0.39710144927536234
-0.08079847908745247,-0.0605759682224429,-0.35664335664335667,-0.4060370009737098
-0.125590179414542,-0.10228401191658391,-0.33001988071570576,-0.38022813688212925
-0.09185606060606061,-0.06225296442687747,-0.32934131736526945,-0.34172313649564373
-0.09090909090909091,-0.13532338308457711,-0.37412935323383084,-0.3013565891472868
0.0,0.0,0.0,-1.0
-0.11753371868978806,-0.12698412698412698,-0.3300099700897308,-0.41332027424094026
-0.14786729857819905,-0.04662698412698413,-0.36752988047808766,-0.3760932944606414
-0.0800376647834275,-0.05976095617529881,-0.3326713008937438,-0.3391304347826087
-0.13246268656716417,-0.08756218905472637,-0.30456349206349204,-0.3882466281310212
-0.14622641509433962,-0.11420059582919563,-0.3244047619047619,-0.3684210526315789
-0.12742382271468145,-0.061691542288557215,-0.313181367690783,-0.33301251203079885
-0.13465160075329566,-0.08134920634920635,-0.34462151394422313,-0.3481624758220503
-0.1244153414405987,-0.04240631163708087,-0.35429141716566864,-0.3638113570741097
-0.11238095238095239,-0.09343936381709742,-0.3504950495049505,-0.4022878932316492
-0.07561436672967864,-0.11496531219028741,-0.3717693836978131,-0.3624031007751938
-0.0892018779342723,-0.011964107676969093,-0.32768924302788843,-0.34172313649564373
-0.13770180436847104,-0.14399205561072492,-0.35054617676266137,-0.421256038647343
-0.16353383458646617,-0.10238568588469185,-0.36706349206349204,-0.3503861003861004
-0.08105560791705937,-0.09359605911330049,-0.33432835820895523,-0.40790742526518803
-0.014814814814814815,-0.05654761904761905,-0.30378486055776893,-0.37816764132553604
-0.12430426716141002,-0.10198019801980197,-0.3572139303482587,-0.33494208494208494
-0.12994350282485875,-0.10781404549950543,-0.30318091451292245,-0.384909264565425
-0.13220018885741266,-0.08964143426294821,-0.36182902584493043,-0.37681159420289856
-0.06857142857142857,-0.09405940594059406,-0.4129353233830846,-0.3781431334622824
-0.12360594795539033,-0.10396039603960396,-0.3665338645418327,-0.3552123552123552
-0.07383177570093458,-0.09930486593843098,-0.38308457711442784,-0.38322211630123926
-0.10560747663551402,-0.104,-0.3419740777666999,-0.38372093023255816
-0.12172284644194757,-0.11717974180734857,-0.3992015968063872,-0.3882466281310212
-0.09065420560747664,-0.07944389275074479,-0.2827172827172827,-0.38011695906432746
-0.06565176022835395,-0.08366533864541832,-0.3880597014925373,-0.3784556720686368
-0.08256029684601113,-0.0903674280039722,-0.3024875621890547,-0.3355834136933462
-0.13570127504553733,-0.16732673267326734,-0.3436254980079681,-0.4196342637151107
-0.11830985915492957,-0.10406342913776016,-0.37996031746031744,-0.38846153846153847
-0.07202216066481995,-0.08250497017892644,-0.33696729435084244,-0.33847637415621984
-0.08720379146919431,-0.10218253968253968,-0.31777557100297915,-0.4289855072463768
-0.10357815442561205,-0.1306930693069307,-0.3399405351833499,-0.39067055393586003
-0.11203703703703703,-0.06342913776015857,-0.33166833166833165,-0.3992248062015504
