Presentable Results 1 Good win percentage but risky play
Running Blackjack
2
Player: Connor, Hand: 25, Profit: -2, Outcome: LOSS
Player: William, Hand: 25, Profit: -2, Outcome: LOSS
Player: J.D., Hand: 25, Profit: -2, Outcome: LOSS
Player: Dave, Hand: 25, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 26, Profit: 2, Outcome: WIN
Player: William, Hand: 26, Profit: 4, Outcome: WIN
Player: J.D., Hand: 26, Profit: 0, Outcome: PUSH
Player: Dave, Hand: 26, Profit: 2, Outcome: WIN
Player: Connor, Hand: 27, Profit: 2, Outcome: WIN
Player: Connor, Hand: 27, Profit: 0, Outcome: PUSH
Player: William, Hand: 27, Profit: 2, Outcome: WIN
Player: J.D., Hand: 27, Profit: 4, Outcome: WIN
Player: Dave, Hand: 27, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 28, Profit: -2, Outcome: LOSS
Player: William, Hand: 28, Profit: -2, Outcome: LOSS
Player: J.D., Hand: 28, Profit: -2, Outcome: LOSS
Player: Dave, Hand: 28, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 29, Profit: 0, Outcome: PUSH
Player: William, Hand: 29, Profit: 2, Outcome: WIN
Player: J.D., Hand: 29, Profit: -2, Outcome: LOSS
Player: Dave, Hand: 29, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 30, Profit: 2, Outcome: WIN
Player: Connor, Hand: 30, Profit: 2, Outcome: WIN
Player: William, Hand: 30, Profit: 2, Outcome: WIN
Player: J.D., Hand: 30, Profit: -2, Outcome: LOSS
Player: Dave, Hand: 30, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 31, Profit: 3.0, Outcome: WIN
Player: William, Hand: 31, Profit: 0, Outcome: PUSH
Player: J.D., Hand: 31, Profit: -2, Outcome: LOSS
Player: Dave, Hand: 31, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 32, Profit: 2, Outcome: WIN
Player: Connor, Hand: 32, Profit: 2, Outcome: WIN
Player: Connor, Hand: 32, Profit: 2, Outcome: WIN
Player: Connor, Hand: 32, Profit: -2, Outcome: LOSS
Player: Connor, Hand: 32, Profit: 2, Outcome: WIN
Player: Connor, Hand: 32, Profit: 2, Outcome: WIN
Player: Connor, Hand: 32, Profit: -2, Outcome: LOSS
Player: William, Hand: 32, Profit: 4, Outcome: WIN
Player: J.D., Hand: 32, Profit: -2, Outcome: LOSS
